Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shopping,Chrome 68.0.3440.106,,2018-09-17 18:53:45,2018-09-17 18:54:58,1m - 13.051s,PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,Login with registered user,2018-09-17 18:53:45,2018-09-17 18:54:16,30.867s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 18:53:46,2018-09-17 18:53:51,5.420s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 18:53:51,2018-09-17 18:54:01,9.399s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:01,2018-09-17 18:54:04,3.254s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 18:54:04,2018-09-17 18:54:04,0.527s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 18:54:04,2018-09-17 18:54:05,0.474s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:05,2018-09-17 18:54:08,3.554s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:08,2018-09-17 18:54:12,3.344s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:12,2018-09-17 18:54:13,1.256s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:13,2018-09-17 18:54:16,2.546s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 18:54:16,2018-09-17 18:54:16,0.698s,PASSED
,,,,,,
Test Cases/Shopping,Chrome 68.0.3440.106,Search a product and shop,2018-09-17 18:54:16,2018-09-17 18:54:58,41.522s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 18:54:17,2018-09-17 18:54:19,2.075s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 18:54:19,2018-09-17 18:54:28,9.184s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 18:54:28,2018-09-17 18:54:28,0.286s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:28,2018-09-17 18:54:30,2.390s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-17 18:54:30,2018-09-17 18:54:31,0.076s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:31,2018-09-17 18:54:31,0.220s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 18:54:31,2018-09-17 18:54:31,0.317s,PASSED
refresh,Chrome 68.0.3440.106,,2018-09-17 18:54:31,2018-09-17 18:54:33,1.551s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 18:54:33,2018-09-17 18:54:36,2.894s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:36,2018-09-17 18:54:39,3.944s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 18:54:39,2018-09-17 18:54:40,0.324s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 18:54:40,2018-09-17 18:54:40,0.237s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:40,2018-09-17 18:54:44,4.295s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 18:54:44,2018-09-17 18:54:45,0.344s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:45,2018-09-17 18:54:48,2.919s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:48,2018-09-17 18:54:48,0.191s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:48,2018-09-17 18:54:50,2.578s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:50,2018-09-17 18:54:52,1.210s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:52,2018-09-17 18:54:54,2.467s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 18:54:54,2018-09-17 18:54:57,3.056s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 18:54:57,2018-09-17 18:54:58,0.691s,PASSED
